TIME;TPF ALL AVG
2025-11-06 20:55:00;-0,68
2025-11-06 21:05:00;-0,71
2025-11-06 21:15:00;-0,67
2025-11-06 21:25:00;-0,67
2025-11-06 21:35:00;-0,67
2025-11-06 21:45:00;-0,7
2025-11-06 21:55:00;-0,7
2025-11-06 22:05:00;-0,69
2025-11-06 22:15:00;-0,69
2025-11-06 22:25:00;-0,68
2025-11-06 22:35:00;-0,66
2025-11-06 22:45:00;-0,64
2025-11-06 22:55:00;-0,61
2025-11-06 23:05:00;-0,32
2025-11-06 23:15:00;-0,14
2025-11-06 23:25:00;-0,14
2025-11-06 23:35:00;-0,13
2025-11-06 23:45:00;-0,08
2025-11-06 23:55:00;-0,09
2025-11-07 00:05:00;-0,09
2025-11-07 00:15:00;-0,06
2025-11-07 00:25:00;0,02
2025-11-07 00:35:00;0,03
2025-11-07 00:45:00;0,02
2025-11-07 00:55:00;0,02
2025-11-07 01:05:00;0,03
2025-11-07 01:15:00;0,02
2025-11-07 01:25:00;0,02
2025-11-07 01:35:00;0,03
2025-11-07 01:45:00;0,03
2025-11-07 01:55:00;0,03
2025-11-07 02:05:00;0,03
2025-11-07 02:15:00;0,02
2025-11-07 02:25:00;0,02
2025-11-07 02:35:00;0,02
2025-11-07 02:45:00;-0,04
2025-11-07 02:55:00;-0,1
2025-11-07 03:05:00;-0,1
2025-11-07 03:15:00;-0,1
2025-11-07 03:25:00;-0,1
2025-11-07 03:35:00;-0,09
2025-11-07 03:45:00;-0,09
2025-11-07 03:55:00;-0,09
2025-11-07 04:05:00;-0,09
2025-11-07 04:15:00;-0,09
2025-11-07 04:25:00;-0,09
2025-11-07 04:35:00;-0,09
2025-11-07 04:45:00;-0,09
2025-11-07 04:55:00;-0,09
2025-11-07 05:05:00;-0,09
2025-11-07 05:15:00;-0,09
2025-11-07 05:25:00;-0,09
2025-11-07 05:35:00;-0,09
2025-11-07 05:45:00;-0,09
2025-11-07 05:55:00;-0,09
2025-11-07 06:05:00;-0,08
2025-11-07 06:15:00;-0,08
2025-11-07 06:25:00;-0,09
2025-11-07 06:35:00;-0,08
2025-11-07 06:45:00;-0,08
2025-11-07 06:55:00;-0,08
2025-11-07 07:05:00;-0,08
2025-11-07 07:15:00;-0,09
2025-11-07 07:25:00;-0,33
2025-11-07 07:35:00;-0,58
2025-11-07 07:45:00;-0,67
2025-11-07 07:55:00;-0,77
2025-11-07 08:05:00;-0,76
2025-11-07 08:15:00;-0,74
2025-11-07 08:25:00;-0,74
2025-11-07 08:35:00;-0,73
2025-11-07 08:45:00;-0,73
2025-11-07 08:55:00;-0,69
2025-11-07 09:05:00;-0,44
2025-11-07 09:15:00;-0,29
2025-11-07 09:25:00;-0,19
2025-11-07 09:35:00;-0,18
2025-11-07 09:45:00;-0,17
2025-11-07 09:55:00;-0,16
2025-11-07 10:05:00;-0,17
2025-11-07 10:15:00;-0,16
2025-11-07 10:25:00;-0,16
2025-11-07 10:35:00;-0,16
2025-11-07 10:45:00;-0,17
2025-11-07 10:55:00;-0,16
2025-11-07 11:05:00;-0,19
2025-11-07 11:15:00;-0,19
2025-11-07 11:25:00;-0,19
2025-11-07 11:35:00;-0,25
2025-11-07 11:45:00;-0,23
2025-11-07 11:55:00;-0,24
2025-11-07 12:05:00;-0,23
2025-11-07 12:15:00;-0,2
2025-11-07 12:25:00;-0,19
2025-11-07 12:35:00;-0,2
2025-11-07 12:45:00;-0,8
2025-11-07 12:55:00;-0,85
2025-11-07 13:05:00;-0,82
2025-11-07 13:15:00;-0,72
2025-11-07 13:25:00;-0,76
2025-11-07 13:35:00;-0,75
2025-11-07 13:45:00;-0,76
2025-11-07 13:55:00;-0,73
2025-11-07 14:05:00;-0,74
2025-11-07 14:15:00;-0,8
2025-11-07 14:25:00;-0,77
2025-11-07 14:35:00;-0,66
2025-11-07 14:45:00;-0,77
2025-11-07 14:55:00;-0,75
2025-11-07 15:05:00;-0,78
2025-11-07 15:15:00;-0,76
2025-11-07 15:25:00;-0,76
2025-11-07 15:35:00;-0,8
2025-11-07 15:45:00;-0,77
2025-11-07 15:55:00;-0,79
2025-11-07 16:05:00;-0,78
2025-11-07 16:15:00;-0,8
2025-11-07 16:25:00;-0,79
2025-11-07 16:35:00;-0,82
2025-11-07 16:45:00;-0,81
2025-11-07 16:55:00;-0,86
2025-11-07 17:05:00;-0,85
2025-11-07 17:15:00;-0,85
2025-11-07 17:25:00;-0,86
2025-11-07 17:35:00;-0,88
2025-11-07 17:45:00;-0,88
2025-11-07 17:55:00;-0,88
2025-11-07 18:05:00;-0,88
2025-11-07 18:15:00;-0,87
2025-11-07 18:25:00;-0,87
2025-11-07 18:35:00;-0,83
2025-11-07 18:45:00;-0,8
2025-11-07 18:55:00;-0,82
2025-11-07 19:05:00;-0,8
2025-11-07 19:15:00;-0,81
2025-11-07 19:25:00;-0,55
2025-11-07 19:35:00;-0,79
2025-11-07 19:45:00;-0,8
2025-11-07 19:55:00;-0,78
2025-11-07 20:05:00;-0,79
2025-11-07 20:15:00;-0,79
2025-11-07 20:25:00;-0,79
2025-11-07 20:35:00;-0,79
2025-11-07 20:45:00;-0,8
2025-11-07 20:55:00;-0,87
2025-11-07 21:05:00;-0,86
2025-11-07 21:15:00;-0,7
2025-11-07 21:25:00;-0,58
2025-11-07 21:35:00;-0,1
2025-11-07 21:45:00;-0,1
2025-11-07 21:55:00;-0,1
2025-11-07 22:05:00;-0,1
2025-11-07 22:15:00;-0,1
2025-11-07 22:25:00;-0,1
2025-11-07 22:35:00;-0,03
2025-11-07 22:45:00;0,04
2025-11-07 22:55:00;0,04
2025-11-07 23:05:00;0,04
2025-11-07 23:15:00;0,04
2025-11-07 23:25:00;0,04
2025-11-07 23:35:00;0,04
2025-11-07 23:45:00;0,04
2025-11-07 23:55:00;0,04
2025-11-08 00:05:00;0,04
2025-11-08 00:15:00;0,04
2025-11-08 00:25:00;0,04
2025-11-08 00:35:00;0,04
2025-11-08 00:45:00;0,04
2025-11-08 00:55:00;0,04
2025-11-08 01:05:00;-0,06
2025-11-08 01:15:00;-0,09
2025-11-08 01:25:00;-0,09
2025-11-08 01:35:00;-0,09
2025-11-08 01:45:00;-0,09
2025-11-08 01:55:00;-0,09
2025-11-08 02:05:00;-0,09
2025-11-08 02:15:00;-0,09
2025-11-08 02:25:00;-0,09
2025-11-08 02:35:00;-0,09
2025-11-08 02:45:00;-0,09
2025-11-08 02:55:00;-0,09
2025-11-08 03:05:00;-0,1
2025-11-08 03:15:00;-0,09
2025-11-08 03:25:00;-0,09
2025-11-08 03:35:00;-0,09
2025-11-08 03:45:00;-0,09
2025-11-08 03:55:00;-0,09
2025-11-08 04:05:00;-0,09
2025-11-08 04:15:00;-0,09
2025-11-08 04:25:00;-0,09
2025-11-08 04:35:00;-0,09
2025-11-08 04:45:00;-0,09
2025-11-08 04:55:00;-0,09
2025-11-08 05:05:00;-0,09
2025-11-08 05:15:00;-0,09
2025-11-08 05:25:00;-0,09
2025-11-08 05:35:00;-0,09
2025-11-08 05:45:00;-0,09
2025-11-08 05:55:00;-0,09
2025-11-08 06:05:00;-0,09
2025-11-08 06:15:00;-0,09
2025-11-08 06:25:00;-0,09
2025-11-08 06:35:00;-0,09
2025-11-08 06:45:00;-0,09
2025-11-08 06:55:00;-0,09
2025-11-08 07:05:00;-0,09
2025-11-08 07:15:00;-0,09
2025-11-08 07:25:00;-0,09
2025-11-08 07:35:00;-0,09
2025-11-08 07:45:00;-0,09
2025-11-08 07:55:00;-0,09
2025-11-08 08:05:00;-0,09
2025-11-08 08:15:00;-0,09
2025-11-08 08:25:00;-0,09
2025-11-08 08:35:00;-0,09
2025-11-08 08:45:00;-0,09
2025-11-08 08:55:00;-0,09
2025-11-08 09:05:00;-0,09
2025-11-08 09:15:00;-0,09
2025-11-08 09:25:00;-0,09
2025-11-08 09:35:00;-0,09
2025-11-08 09:45:00;-0,09
2025-11-08 09:55:00;-0,09
2025-11-08 10:05:00;-0,09
2025-11-08 10:15:00;-0,09
2025-11-08 10:25:00;-0,05
2025-11-08 10:35:00;0,04
2025-11-08 10:45:00;0,04
2025-11-08 10:55:00;0,05
2025-11-08 11:05:00;0,05
2025-11-08 11:15:00;0,05
2025-11-08 11:25:00;0,05
2025-11-08 11:35:00;0,05
2025-11-08 11:45:00;0,05
2025-11-08 11:55:00;0,05
2025-11-08 12:05:00;0,05
2025-11-08 12:15:00;0,05
2025-11-08 12:25:00;0,05
2025-11-08 12:35:00;0,05
2025-11-08 12:45:00;-0,07
2025-11-08 12:55:00;-0,09
2025-11-08 13:05:00;-0,09
2025-11-08 13:15:00;-0,09
2025-11-08 13:25:00;-0,09
2025-11-08 13:35:00;-0,09
2025-11-08 13:45:00;-0,09
2025-11-08 13:55:00;-0,09
2025-11-08 14:05:00;0,08
2025-11-08 14:15:00;0,09
2025-11-08 14:25:00;0,02
2025-11-08 14:35:00;0,02
2025-11-08 14:45:00;0,02
2025-11-08 14:55:00;0,01
2025-11-08 15:05:00;-0,0
2025-11-08 15:15:00;-0,0
2025-11-08 15:25:00;-0,0
2025-11-08 15:35:00;-0,0
2025-11-08 15:45:00;-0,01
2025-11-08 15:55:00;0,0
2025-11-08 16:05:00;0,0
2025-11-08 16:15:00;0,01
2025-11-08 16:25:00;0,01
2025-11-08 16:35:00;0,01
2025-11-08 16:45:00;0,02
2025-11-08 16:55:00;0,02
2025-11-08 17:05:00;0,02
2025-11-08 17:15:00;-0,1
2025-11-08 17:25:00;-0,15
2025-11-08 17:35:00;-0,14
2025-11-08 17:45:00;-0,14
2025-11-08 17:55:00;-0,14
2025-11-08 18:05:00;-0,06
2025-11-08 18:15:00;0,02
2025-11-08 18:25:00;-0,01
2025-11-08 18:35:00;-0,06
2025-11-08 18:45:00;-0,06
2025-11-08 18:55:00;-0,06
2025-11-08 19:05:00;-0,06
2025-11-08 19:15:00;-0,06
2025-11-08 19:25:00;-0,06
2025-11-08 19:35:00;-0,06
2025-11-08 19:45:00;-0,06
2025-11-08 19:55:00;-0,06
2025-11-08 20:05:00;-0,06
2025-11-08 20:15:00;-0,06
2025-11-08 20:25:00;-0,06
2025-11-08 20:35:00;-0,06
2025-11-08 20:45:00;-0,06
2025-11-08 20:55:00;-0,15
2025-11-08 21:05:00;-0,1
2025-11-08 21:15:00;-0,1
2025-11-08 21:25:00;-0,1
2025-11-08 21:35:00;-0,1
2025-11-08 21:45:00;-0,1
2025-11-08 21:55:00;-0,1
2025-11-08 22:05:00;-0,1
2025-11-08 22:15:00;-0,1
2025-11-08 22:25:00;-0,1
2025-11-08 22:35:00;-0,0
2025-11-08 22:45:00;0,04
2025-11-08 22:55:00;0,04
2025-11-08 23:05:00;0,04
2025-11-08 23:15:00;0,04
2025-11-08 23:25:00;0,04
2025-11-08 23:35:00;0,04
2025-11-08 23:45:00;0,04
2025-11-08 23:55:00;0,04
2025-11-09 00:05:00;0,04
2025-11-09 00:15:00;0,04
2025-11-09 00:25:00;0,04
2025-11-09 00:35:00;0,01
2025-11-09 00:45:00;-0,1
2025-11-09 00:55:00;-0,1
2025-11-09 01:05:00;-0,1
2025-11-09 01:15:00;-0,1
2025-11-09 01:25:00;-0,1
2025-11-09 01:35:00;-0,1
2025-11-09 01:45:00;-0,09
2025-11-09 01:55:00;-0,09
2025-11-09 02:05:00;-0,09
2025-11-09 02:15:00;-0,09
2025-11-09 02:25:00;-0,09
2025-11-09 02:35:00;-0,09
2025-11-09 02:45:00;-0,09
2025-11-09 02:55:00;-0,09
2025-11-09 03:05:00;-0,09
2025-11-09 03:15:00;-0,09
2025-11-09 03:25:00;-0,09
2025-11-09 03:35:00;-0,09
2025-11-09 03:45:00;-0,09
2025-11-09 03:55:00;-0,09
2025-11-09 04:05:00;-0,09
2025-11-09 04:15:00;-0,09
2025-11-09 04:25:00;-0,09
2025-11-09 04:35:00;-0,09
2025-11-09 04:45:00;-0,1
2025-11-09 04:55:00;-0,09
2025-11-09 05:05:00;-0,09
2025-11-09 05:15:00;-0,09
2025-11-09 05:25:00;-0,09
2025-11-09 05:35:00;-0,09
2025-11-09 05:45:00;-0,09
2025-11-09 05:55:00;-0,09
2025-11-09 06:05:00;-0,09
2025-11-09 06:15:00;-0,09
2025-11-09 06:25:00;-0,09
2025-11-09 06:35:00;-0,09
2025-11-09 06:45:00;-0,09
2025-11-09 06:55:00;-0,09
2025-11-09 07:05:00;-0,09
2025-11-09 07:15:00;-0,09
2025-11-09 07:25:00;-0,09
2025-11-09 07:35:00;-0,09
2025-11-09 07:45:00;-0,09
2025-11-09 07:55:00;-0,09
2025-11-09 08:05:00;-0,09
2025-11-09 08:15:00;-0,09
2025-11-09 08:25:00;-0,09
2025-11-09 08:35:00;-0,09
2025-11-09 08:45:00;-0,09
2025-11-09 08:55:00;-0,09
2025-11-09 09:05:00;-0,09
2025-11-09 09:15:00;-0,09
2025-11-09 09:25:00;-0,09
2025-11-09 09:35:00;-0,09
2025-11-09 09:45:00;-0,09
2025-11-09 09:55:00;-0,09
2025-11-09 10:05:00;-0,09
2025-11-09 10:15:00;-0,09
2025-11-09 10:25:00;-0,09
2025-11-09 10:35:00;-0,09
2025-11-09 10:45:00;-0,09
2025-11-09 10:55:00;-0,09
2025-11-09 11:05:00;-0,03
2025-11-09 11:15:00;0,04
2025-11-09 11:25:00;0,04
2025-11-09 11:35:00;0,05
2025-11-09 11:45:00;0,05
2025-11-09 11:55:00;0,05
2025-11-09 12:05:00;0,05
2025-11-09 12:15:00;0,05
2025-11-09 12:25:00;0,05
2025-11-09 12:35:00;0,05
2025-11-09 12:45:00;0,05
2025-11-09 12:55:00;0,05
2025-11-09 13:05:00;-0,0
2025-11-09 13:15:00;-0,09
2025-11-09 13:25:00;-0,09
2025-11-09 13:35:00;-0,09
2025-11-09 13:45:00;-0,09
2025-11-09 13:55:00;-0,09
2025-11-09 14:05:00;-0,09
2025-11-09 14:15:00;-0,09
2025-11-09 14:25:00;-0,09
2025-11-09 14:35:00;-0,09
2025-11-09 14:45:00;-0,09
2025-11-09 14:55:00;-0,09
2025-11-09 15:05:00;-0,09
2025-11-09 15:15:00;-0,09
2025-11-09 15:25:00;-0,09
2025-11-09 15:35:00;-0,09
2025-11-09 15:45:00;-0,09
2025-11-09 15:55:00;-0,09
2025-11-09 16:05:00;-0,1
2025-11-09 16:15:00;-0,09
2025-11-09 16:25:00;-0,09
2025-11-09 16:35:00;-0,09
2025-11-09 16:45:00;-0,1
2025-11-09 16:55:00;-0,09
2025-11-09 17:05:00;-0,1
2025-11-09 17:15:00;-0,09
2025-11-09 17:25:00;-0,09
2025-11-09 17:35:00;-0,09
2025-11-09 17:45:00;-0,09
2025-11-09 17:55:00;-0,1
2025-11-09 18:05:00;-0,1
2025-11-09 18:15:00;-0,09
2025-11-09 18:25:00;-0,1
2025-11-09 18:35:00;-0,1
2025-11-09 18:45:00;-0,1
2025-11-09 18:55:00;-0,1
2025-11-09 19:05:00;-0,1
2025-11-09 19:15:00;-0,1
2025-11-09 19:25:00;-0,1
2025-11-09 19:35:00;-0,1
2025-11-09 19:45:00;-0,1
2025-11-09 19:55:00;-0,09
2025-11-09 20:05:00;-0,08
2025-11-09 20:15:00;-0,08
2025-11-09 20:25:00;-0,08
2025-11-09 20:35:00;-0,08
2025-11-09 20:45:00;-0,08
2025-11-09 20:55:00;-0,09
2025-11-09 21:05:00;-0,09
2025-11-09 21:15:00;-0,09
2025-11-09 21:25:00;-0,09
2025-11-09 21:35:00;-0,09
2025-11-09 21:45:00;-0,09
2025-11-09 21:55:00;-0,09
2025-11-09 22:05:00;-0,09
2025-11-09 22:15:00;-0,09
2025-11-09 22:25:00;-0,09
2025-11-09 22:35:00;-0,09
2025-11-09 22:45:00;-0,09
2025-11-09 22:55:00;-0,09
2025-11-09 23:05:00;-0,09
2025-11-09 23:15:00;-0,09
2025-11-09 23:25:00;-0,09
2025-11-09 23:35:00;-0,07
2025-11-09 23:45:00;0,04
2025-11-09 23:55:00;0,05
2025-11-10 00:05:00;0,05
2025-11-10 00:15:00;0,05
2025-11-10 00:25:00;0,05
2025-11-10 00:35:00;0,05
2025-11-10 00:45:00;0,05
2025-11-10 00:55:00;0,05
2025-11-10 01:05:00;0,05
2025-11-10 01:15:00;0,05
2025-11-10 01:25:00;0,05
2025-11-10 01:35:00;0,01
2025-11-10 01:45:00;-0,08
2025-11-10 01:55:00;-0,08
2025-11-10 02:05:00;-0,09
2025-11-10 02:15:00;-0,08
2025-11-10 02:25:00;-0,08
2025-11-10 02:35:00;-0,08
2025-11-10 02:45:00;-0,1
2025-11-10 02:55:00;-0,09
2025-11-10 03:05:00;-0,09
2025-11-10 03:15:00;-0,08
2025-11-10 03:25:00;-0,08
2025-11-10 03:35:00;-0,08
2025-11-10 03:45:00;-0,1
2025-11-10 03:55:00;-0,09
2025-11-10 04:05:00;-0,08
2025-11-10 04:15:00;-0,09
2025-11-10 04:25:00;-0,08
2025-11-10 04:35:00;-0,09
2025-11-10 04:45:00;-0,08
2025-11-10 04:55:00;-0,08
2025-11-10 05:05:00;-0,09
2025-11-10 05:15:00;-0,08
2025-11-10 05:25:00;-0,09
2025-11-10 05:35:00;-0,09
2025-11-10 05:45:00;-0,09
2025-11-10 05:55:00;-0,09
2025-11-10 06:05:00;-0,08
2025-11-10 06:15:00;-0,08
2025-11-10 06:25:00;-0,08
2025-11-10 06:35:00;-0,08
2025-11-10 06:45:00;-0,08
2025-11-10 06:55:00;-0,08
2025-11-10 07:05:00;-0,08
2025-11-10 07:15:00;-0,08
2025-11-10 07:25:00;-0,08
2025-11-10 07:35:00;-0,01
2025-11-10 07:45:00;-0,27
2025-11-10 07:55:00;-0,72
2025-11-10 08:05:00;-0,74
2025-11-10 08:15:00;-0,77
